City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,hovd,48.0056,91.6419,76.84,26,75,2.15,MN,1722653667
266,zaterechnyy,44.7931,45.2097,79.43,39,79,5.32,RU,1722653668
267,kurlovo,55.4325,40.4854,56.77,93,24,4.72,RU,1722653670
268,kerman,30.2832,57.0788,76.86,23,20,0.0,IR,1722653671
269,kitimat,54.0524,-128.6534,82.78,45,60,3.0,CA,1722653672
270,richards bay,-28.783,32.0377,63.46,87,25,3.53,ZA,1722653675
271,souillac,-20.5167,57.5167,66.58,94,40,10.36,MU,1722653676
272,al ghayzah,16.2079,52.176,76.96,92,91,8.08,YE,1722653677
273,isla mujeres,21.2311,-86.731,84.16,78,4,9.73,MX,1722653678
274,stettler,52.3168,-112.7186,65.75,38,100,8.1,CA,1722653680
275,canzo,45.8495,9.2772,70.47,62,60,4.7,IT,1722653681
276,coracora,-15.0333,-73.7833,45.41,39,0,2.73,PE,1722653682
277,sisimiut,66.9395,-53.6735,43.52,82,9,3.15,GL,1722653683
278,fale old settlement,-9.3852,-171.2468,82.63,74,17,15.32,TK,1722653685
279,saint-louis,16.3333,-15.0,82.0,64,6,11.5,SN,1722653686
280,arteche,12.2645,125.4048,86.18,73,95,1.97,PH,1722653687
281,daru,-9.0763,143.2092,76.77,84,94,20.4,PG,1722653688
282,praia da vitoria,38.7333,-27.0667,71.85,88,40,3.29,PT,1722653690
283,ar rutbah,33.0381,40.2848,78.64,32,0,16.89,IQ,1722653691
284,hancheng,32.5186,112.3522,87.46,78,79,8.19,CN,1722653692
285,vila velha,-20.3297,-40.2925,71.55,96,100,8.05,BR,1722653693
286,khamis mushait,18.3064,42.7292,65.01,77,0,6.91,SA,1722653695
287,carutapera,-1.195,-46.02,77.04,83,38,5.66,BR,1722653697
288,salekhard,66.53,66.6019,63.16,78,88,20.4,RU,1722653698
289,aconibe,1.2968,10.9369,65.68,96,69,3.65,GQ,1722653700
290,eynesil,41.0645,39.1438,70.63,75,10,4.97,TR,1722653701
291,cartagena,10.3997,-75.5144,85.62,74,40,5.75,CO,1722653702
292,tokonou,9.65,-9.7833,70.05,92,100,6.29,GN,1722653703
293,san clemente del tuyu,-36.3569,-56.7235,59.77,83,100,17.11,AR,1722653705
294,coyhaique,-45.5752,-72.0662,38.17,99,100,5.21,CL,1722653706
295,el granada,37.5027,-122.4694,75.69,78,75,17.27,US,1722653495
